,PC1,PC2
Age,1.9807565192552497e-05,2.1838825333951096e-06
Income,2.5385576581493652e-05,1.9115804745898496e-05
Spending_Score,6.87662999315916e-06,-5.291806095707429e-06
Num_Purchases,-8.249526005457508e-06,8.880066695933879e-06
Avg_Transaction_Amount,-1.5315862526888777e-06,-0.00011788256511160228
Total_Spending,-4.4356033780114406e-06,-0.00011382278338884908
Recency,-3.055165958463686e-06,2.6504909531669407e-05
Tenure_Months,4.323011980091788e-11,-1.6839919899526266e-09
Discount_Sensitivity,2.4466371385975513e-05,-2.0611252942647943e-05
Recency_Score,6.147142996549826e-06,-1.9810236522574182e-05
Frequency_Score,-4.859061073397519e-06,1.3336646581249092e-05
Monetary_Score,8.834901343811808e-08,-0.00011090338697603888
RFM_Score,1.3764309365904284e-06,-0.00011737697691736396
Avg_Purchase_Value,6.00920234147106e-06,0.00037566666124968503
Spending_Velocity,0.26177192495823176,0.9651296551563419
Purchase_Frequency_Rate,0.9651297610443197,-0.2617718923296249
Engagement_Score,-6.864480061513352e-07,1.7941302999453364e-06
Is_High_Value,-3.1639393262279214e-06,-2.528157291215408e-05
Is_At_Risk,-2.4714764884571473e-06,8.613903724297606e-06
Churn_Risk_Score,-1.2017953278161761e-06,4.116191997655482e-06
Spending_Propensity,-3.7897612594317565e-05,0.00016511049301605333
Spend_Freq_Interaction,-5.088520439217102e-06,1.8568976658902556e-06
Income_Spend_Interaction,1.683291418355838e-05,2.7997044453125683e-06
Recency_Freq_Product,2.2820780100834626e-06,-9.398809031873652e-06
Value_Potential,-8.316217972706473e-08,2.829099781727485e-05
